5.5	AI 실행 환경 세부정보	장문 텍스트	선택	OS, CUDA, 드라이버, 컨테이너, 런타임, API 버전 등 확인에 필요한 환경 정보를 작성한다.	예: Ubuntu 22.04, CUDA 12.1, Docker, TensorRT	Ubuntu 22.04, CUDA 12.1, NVIDIA Driver 535, Docker, PyTorch 2.6.0	SBOM, 라이브러리 목록, 실행 로그		
5.6	기타 참고자료 첨부	파일	선택	기능 구현 또는 동작 확인에 참고할 수 있는 자료를 첨부한다.	복수 파일 가능	추론 결과 캡처, 로그 파일			
5.7	아키텍처/데이터 흐름도	파일	선택	기능의 구조 또는 데이터 흐름을 보여주는 자료를 첨부한다.	이미지 또는 PDF	데이터 흐름도 이미지			
5.A	자체 학습 모델 상세 항목								
5.A.1	학습 데이터 사양	장문 텍스트	선택	데이터 출처, 데이터 유형, 데이터 규모 등을 작성한다.	예: 자체수집/공공/구매 데이터, 비정형 이미지 데이터, 약 200,000건	- 데이터 출처: 제휴 병원 비식별 흉부 X-ray 데이터
- 데이터 유형: DICOM 이미지
- 데이터 규모: 약 200,000건	데이터 사양서		
5.A.2	개발환경·라이브러리·알고리즘	장문 텍스트	선택	모델 개발 시 사용한 주요 개발 언어 버전, 코어 라이브러리 명칭 및 버전, 핵심 알고리즘 또는 모델 구조를 작성한다.	예: Python 3.12, PyTorch 2.6.0, CNN 기반 객체 탐지	- 개발언어: Python 3.12
- 라이브러리: PyTorch 2.6.0, TorchVision
- 알고리즘: CNN 기반 객체 탐지 모델	SBOM, 라이브러리 확인, 소스코드 캡처		
5.A.3	입력 데이터 설명	장문 텍스트	선택	AI 모델이 실제로 입력받는 데이터의 형태나 샘플을 작성한다.	예: DICOM 영상, 생체 신호 데이터	환자 DICOM 영상 파일과 검사 메타데이터를 입력으로 사용합니다.			
5.A.4	출력 데이터 설명	장문 텍스트	선택	AI 모델이 산출하는 최종 출력 결과값의 형태나 샘플을 작성한다.	예: Bounding Box 좌표, 진단 확률, JSON 제어 신호	병변 후보 좌표, 위험도 점수, 소견 분류 라벨을 JSON으로 출력합니다.			
5.B	Fine-tuning 모델 상세 항목								
5.B.1	Base Model 명칭·버전	텍스트	선택	기반 모델의 명칭과 버전을 작성한다.	예: Llama-3-8B, ResNet-50 v2, BERT-base	ResNet-50 v2	베이스 모델 출처 또는 모델 카드		
5.B.2	튜닝 방법	텍스트	선택	적용한 튜닝 방식을 작성한다.	예: 전이학습, LoRA, QLoRA, Full Fine-tuning	전이학습 + LoRA	학습 로그, 설정 파일		
5.B.3	튜닝 데이터셋	장문 텍스트	선택	튜닝에 사용한 추가 데이터 목적, 규모, 라벨링 방식, 학습 파라미터 등을 작성한다.	예: 확진 환자 데이터 12,000건, 전문의 교차 검증 라벨링, Learning Rate/Batch Size/Epochs	- 데이터 목적: 폐렴 위험도 분류 성능 보정
- 데이터 규모: 제휴 병원 비식별 X-ray 12,000건
- 라벨링: 전문의 3인 교차 검증
- 학습 파라미터: Learning Rate=1e-4, Batch Size=32, Epochs=50			
5.B.4	입력 데이터 설명	장문 텍스트	선택	AI 모델이 실제로 입력받는 데이터의 형태나 샘플을 작성한다.	예: 흉부 X-ray 영상 파일	흉부 X-ray 영상 파일과 촬영 조건 메타데이터를 입력으로 사용합니다.			
5.B.5	출력 데이터 설명	장문 텍스트	선택	AI 모델이 산출하는 최종 출력 결과값의 형태나 샘플을 작성한다.	예: 의심 병변 분류 결과 및 위험도 등급	폐렴 의심 등급, 중증도 단계, 분석 확신도를 출력합니다.			
5.C	외부 AI API 연계 상세 항목								
5.C.1	외부 API·모델	텍스트	선택	연계한 API 또는 모델명을 작성한다.	예: OpenAI gpt-4o-mini, Anthropic Claude 3.5 Sonnet API, Google Gemini 1.5 Pro API	OpenAI gpt-4o-mini	API 호출 로그, API 버전 확인		
5.C.2	입력 데이터 설명	장문 텍스트	선택	연계된 AI API에 주입되는 입력 데이터의 형태나 샘플을 작성한다.	예: 고객 리뷰 원문, 프롬프트, JSON payload	탐지 결과 JSON과 의료진이 작성한 임상 메모를 프롬프트에 포함합니다.			
5.C.3	출력 데이터 설명	장문 텍스트	선택	API 연산 후 반환되어 화면이나 시스템에 표출되는 출력 결과 예시를 작성한다.	예: 관리자용 요약, 고객 답변 초안	의료진 검토용 판독 초안, 주요 근거 요약, 수정 필요 문구를 생성합니다.			
5.D	온디바이스 AI 상세 항목								
5.D.1	타겟 하드웨어·OS	장문 텍스트	선택	AI 기능이 동작하는 하드웨어와 OS를 작성한다.	예: NVIDIA Jetson Orin Nano, Linux for Tegra, Ubuntu 22.04 LTS	- 하드웨어: NVIDIA Jetson Orin Nano (8GB)
- OS: Linux for Tegra r36.3 / Ubuntu 22.04 LTS	장비 사진, 시스템 정보 캡처		
5.D.2	추론 런타임	텍스트	선택	사용하는 추론 런타임 또는 실행 환경을 작성한다.	예: TensorRT, OpenVINO, TFLite	TensorRT	런타임 로그		
5.D.3	입력 데이터 설명	장문 텍스트	선택	로컬 모델이 직접 주입받는 입력 형태나 샘플을 작성한다.	예: 생체 신호, 센서값	병동 모니터링 장비의 심박수, 산소포화도, 호흡수 센서 스트림을 입력합니다.			
5.D.4	출력 데이터 설명	장문 텍스트	선택	자체 연산 후 출력되는 최종 결과 또는 기기 동작 샘플을 작성한다.	예: 모터 제어 신호, 긴급 정지 명령	위험 알림 이벤트와 알림 등급, 장비 제어 신호를 생성합니다.			
5.E	혼합형 AI 구성 상세 항목								
5.E.1	혼합 구성 설명	장문 텍스트	선택	하나의 서비스를 구현하기 위해 결합한 개별 AI 모델명과 전체적인 복합 구조를 작성한다.	예: ViT-L/14 + Llama-3-8B-Instruct	- 적용 모델명: ViT-L/14 (비전) + Llama-3-8B-Instruct (LLM) + gpt-4o-mini
- 구조 설명: 영상 특징 추출, 위험도 분류, 자연어 리포트 생성이 결합된 멀티모달 파이프라인	시스템 아키텍처 구성도		
5.E.2	모델별 역할 및 입출력 흐름	장문 텍스트	선택	결합된 개별 모델들이 담당하는 기능과 데이터가 연동되어 흘러가는 순서를 작성한다.	모델 간 입력, 중간 산출물, 최종 출력 흐름	1. 비전 모델: 흉부 영상에서 특징 벡터 추출
2. 분류 모델: 특징 벡터와 메타데이터를 이용해 위험도 산정
3. 언어 모델/API: 위험도와 임상 메모를 결합해 최종 리포트 생성			
5.E.3	입력 데이터 설명	장문 텍스트	선택	첫 단계 모델에 주입되는 원본 데이터와 중간 모델 간 데이터 포맷을 작성한다.	예: DICOM 이미지, 결절 메타데이터 JSON	영상 특징 벡터, 위험도 분류 결과 JSON, 임상 메모 텍스트를 입력으로 사용합니다.			
5.E.4	출력 데이터 설명	장문 텍스트	선택	최종 단계에서 화면 표출 또는 시스템 전달되는 출력 예시를 작성한다.	예: 판독 소견서 텍스트, 구조화된 결과 JSON	통합 판독 리포트, 핵심 근거 요약, 후속 검사 권고 문구를 출력합니다.			
6	기존 인증 및 시험 결과								
6.1	GS인증	체크박스	선택	GS인증 보유 시 선택한다.		선택함			
6.2	AI 신뢰성(CAT) 인증	체크박스	선택	AI 신뢰성 인증 보유 시 선택한다.		선택 안 함			
6.3	기타	체크박스	선택	기타 인증 또는 시험 결과가 있는 경우 선택한다.		식품의약품안전처 의료기기 인허가			
6.4	인증서/시험성적서 첨부	파일	선택	관련 인증서 또는 시험성적서를 첨부한다.	복수 파일 가능	GS인증서, 시험성적서			
6.5	비고	텍스트	선택	인증번호, 발급일, 적용 제품 버전 등 참고사항을 작성한다.		GS인증 예비 심사 자료 보유			
